subject	AcqGroup
sub-48748345	258
sub-94826271	259
sub-77180612	260
sub-84732827	261
sub-39539033	262
sub-50300660	263
sub-15368216	264
sub-75458387	265
sub-54739607	266
sub-24969970	267
sub-90821208	268
sub-96370720	269
sub-31171127	270
sub-95087506	271
sub-28317122	272
sub-31373325	273
sub-31997381	274
sub-13581685	275
sub-15279954	276
sub-46041057	277
sub-49619549	278
sub-51905867	279
sub-38264019	280
sub-41566489	281
sub-42308567	282
sub-68289181	283
sub-99126836	284
sub-25210734	285
sub-41417981	286
sub-57833358	287
sub-56979865	288
sub-72448817	289
sub-46110487	290
sub-73146926	291
sub-42450388	292
sub-41928551	293
sub-75161029	294
sub-73177635	295
sub-73033080	296
sub-79692387	297
sub-35259170	298
sub-79521487	299
sub-78410089	300
sub-77790442	301
sub-65952361	302
sub-65925304	303
sub-64505110	304
sub-63514945	305
sub-43211671	306
sub-35676857	307
sub-59497970	308
sub-34542628	309
sub-54110146	310
sub-57311163	311
sub-58051920	312
sub-56201806	313
sub-56029116	314
sub-55003328	315
sub-54631876	316
sub-37914710	317
sub-36646347	318
sub-38292829	319
sub-39544012	320
sub-40385646	321
sub-40401703	322
sub-37070929	323
sub-36953249	324
sub-36689398	325
sub-71932972	326
sub-67946467	327
sub-67632202	328
sub-20860828	329
sub-31349429	330
sub-29843151	331
sub-37997363	332
sub-36087310	333
sub-35967579	334
sub-21367582	335
sub-21213453	336
sub-25248418	337
sub-67249133	338
sub-28628802	339
sub-27083391	340
sub-26334803	341
sub-26334777	342
sub-51938758	343
sub-51129205	344
sub-61074758	345
sub-31914288	346
sub-33154734	347
sub-33400773	348
sub-33635574	349
sub-93041854	350
sub-92427316	351
sub-91996170	352
sub-90805280	353
sub-97775875	354
sub-98455072	355
sub-96763051	356
sub-96351191	357
sub-90544000	358
sub-85508351	359
sub-82335720	360
sub-90224563	361
sub-87585034	362
sub-86910081	363
sub-34185763	364
sub-12766954	365
