gradient1,gradient2,gradient3,gradient4,gradient5
0.022662869,0.21811879,0.5055875,-0.49149302,0.060686342
-0.519147,0.9750968,0.18779774,-0.3967658,-0.029568676
-1.0230236,-0.4014981,-0.20123635,-0.31374034,-0.13075502
-0.85627013,0.46107492,0.11577635,-0.46837837,0.062294137
-0.16254248,0.24564038,0.31524944,-0.30321363,0.08803647
-0.46996766,0.306554,-0.03287964,-0.15377814,-0.014389919
-0.38670707,0.06599161,0.32539457,-0.18806344,0.16189101
-0.94366276,0.2707553,0.13146496,-0.3237336,0.08524056
-1.2410147,-0.44566146,-0.052541774,-0.15246627,-0.031107064
-0.5150258,0.020714253,0.08820912,-0.07557572,0.35942397
-0.032518853,0.241738,0.6172016,-0.62891775,0.08474891
-1.7702773,-0.15759161,0.40315086,-0.61026245,0.27411535
-0.22585487,0.015596841,0.60079294,-0.29766667,0.19771123
-0.5578724,0.009983905,0.5953382,-0.69496036,0.18398637
-1.0877448,0.1094571,0.41771168,-0.66817474,0.23157817
-1.3270997,-0.48928425,0.3865289,0.028075632,0.36194956
0.3226056,-0.12659669,-0.08302586,0.04367919,0.38454083
-0.81138265,-0.17638914,0.32584155,-0.3484329,0.2153072
-0.34807798,-0.026349207,0.6653149,-0.18119131,0.33806607
0.21770452,0.08106647,-0.14803082,-0.052114878,0.29496086
-0.66718364,-0.57742953,-1.0924423,0.17710394,0.8145617
-2.0337195,-0.7773775,0.9948071,0.22513655,0.7828673
0.9299397,-0.07368095,1.2366693,-0.19508265,0.290041
-2.665839,-1.0457689,0.68409795,0.314386,0.6819611
-1.153564,-0.423459,1.8172292,0.107793674,0.995937
-2.6930723,-1.0137852,1.3216434,0.17075893,0.98721117
-0.63104427,-0.40324682,1.2281287,0.15051115,0.6639055
-2.1866374,-0.93671775,0.5665523,0.10680782,0.5582156
-0.49202013,-0.14624223,0.77203023,-0.27626744,0.46281022
-0.033599984,-0.081139974,0.45232263,0.065060124,0.20974647
-0.7180857,-0.3678448,1.089879,0.34674886,0.54681444
-1.9700192,-0.78702843,0.31523016,0.09496896,0.26927823
-1.8975704,-0.6324403,0.44326755,0.015516452,0.2658671
-0.81785995,-0.34212857,0.71774024,-0.036659226,0.38057822
-1.482997,0.023462035,0.61204153,0.09808913,0.37748203
-1.1587294,0.0244273,0.19037043,-0.032646798,0.17826241
-0.9060752,-0.42360866,0.22248544,0.034548208,0.2696223
3.7820282,-0.048039258,0.09720933,-0.22089228,-0.37198758
2.1208508,-0.01776624,-0.04692463,-0.18898822,0.20347917
3.7075624,0.031124083,-0.19514444,-0.42424405,-0.1127148
3.6789572,-0.015070762,-1.6095185,-0.10519917,0.48944002
2.919281,-0.08956906,-0.68720025,-0.007899186,0.0971287
0.86479706,0.14148936,-0.85145235,-0.14875728,0.69159395
1.0340177,0.16701221,-0.86728,-0.3074854,0.60592294
0.8969241,0.31647506,-0.47856548,-0.32695782,0.3871696
1.5415109,0.08732246,0.08765833,-0.3478774,0.3748413
0.79751265,0.5585949,-0.7576263,-0.37403876,0.7049838
2.7304904,-0.09635756,-1.3412988,-0.018951848,0.58992404
2.3606863,-0.09376188,-1.8324378,-0.06400505,0.9261033
3.2345886,0.19063006,-1.2895936,-0.044380687,0.21786147
1.3226695,0.22379634,0.3221264,-0.45588398,-0.17348316
0.3232479,0.013832374,0.46431422,-0.13916592,0.03641084
1.4307508,-0.005647102,0.21031252,-0.13580261,-0.21336286
1.2274058,0.048231337,0.27812085,-0.21479303,-0.27005172
1.3582121,0.07243185,0.5577422,-0.31547907,-0.33808687
0.42876595,0.21044873,0.6485466,-0.63006324,-0.079625815
1.8890578,0.06507327,0.046087027,-0.30203342,-0.23741756
1.5463424,-0.05579531,1.3079466,-0.16319647,-0.1403209
2.3656602,-0.008068374,4.49E-05,-0.22383696,-0.29427826
1.0557865,0.115857884,0.35847557,-0.41687799,0.18740842
0.87605566,0.016038531,0.60860306,-0.17890017,-0.13558643
1.2748104,-0.011981058,0.26717407,-0.015451442,-0.14731842
0.14102997,0.054607883,0.6643615,-0.28191423,0.13746472
1.0695531,0.06487479,-0.027672004,-0.23185822,0.08001712
1.0625098,0.16464286,0.37964886,-0.40999678,-0.15008874
0.64778537,0.009115735,0.52359957,-0.11889935,-0.006556626
1.4543298,-0.32421216,1.0775745,0.3632709,0.2560023
-0.08741508,0.34121373,0.20244451,-0.009040277,-0.024860084
0.75723517,0.18184474,0.17201734,-0.18296391,0.013218478
0.118070826,0.03936311,0.63570184,-0.25064224,0.14902937
1.0107586,-0.11901456,0.7968904,0.24484144,-0.0627638
2.9432251,-0.002826801,0.19668199,-0.29146206,-0.19168994
2.8260512,-0.103589095,-1.0727063,-0.005859486,0.38633335
2.7422745,-0.06870755,-0.80535686,-0.048389073,0.07602231
1.9199274,0.03674546,0.18701547,-0.27471286,-0.31972915
2.263034,-0.05834193,-1.139024,-0.010229501,0.46267763
-0.32598078,-0.48732236,-1.3387636,0.06019218,0.8221037
2.3305476,-0.07510595,-0.71779543,-0.034315497,0.17971635
1.7032316,-0.14127403,-1.2078825,0.015037218,0.69780517
-0.57914054,-0.40585184,-1.0033739,0.0181389,0.51856196
-0.37682834,-0.4238934,-1.0361924,0.028974423,0.5672355
